input,law_numbers,response_analysis_no_rag,response_analysis_with_case,accusation,articles,term,punish_of_money,criminals
江永县人民检察院指控，2015年期间，江永县夏层铺镇的蒲某（另案处理）预谋通过帮农户办理危房改造资金的方式来获取利益，并找徐某1（另案处理）去搜集农户信息。2015年10月份的一天，蒲某拿着徐某1等人收集的李某1、汪某1等11户的危房改造申报资料，找时任江2某口省级自然保护区管理局负责分管危房改造工作的副局长即被告人廖某签字审批，并许诺事成后给廖某2万某的好处费。被告人廖某在明知上述11户不符合危房改造资金申报条件及申报程序的情况下，仍然在这11份危房改造项目申请表上签字、盖章，使其通过审核，并上报江永县住建局危改办审批通过，致使18.4万某危房改造补助资金遭受损失。2016年2月份，被告人廖某在江永县潇浦镇四方井地段收受蒲某送的好处费1万某；几天之后，又在江永县夏层铺烟草站附近收受蒲某的好处费1万某，并将这2万某用于个人日常开支。案发后，被告人廖某于2016年7月24日向江永县纪检监察机关退缴赃款2万某，并于2016年10月26日自动到江永县人民检察院投案。该院认为，被告人廖某身为国家工作人员，利用职务上的便利，非法收受他人财物，为他人谋取利益，致使公共财产遭受损失，其行为触犯了《中华人民共和国刑法》××××的规定，应当以××罪追究其刑事责任，特提请本院依法判处。,,被告人廖某犯有受贿罪。廖某作为国家工作人员，利用职务上的便利，非法收受他人财物，为他人谋取利益，致使公共财产遭受损失，其行为触犯了《中华人民共和国刑法》第三百八十三条的规定，应当以受贿罪追究其刑事责任。,"案件构成：贪污罪
法律条文：《刑法》第三百八十二条第一款、第三百八十三条第一款第（三）项、第九十三条第二款、第六十七条第一款、第七十二条第一、三款、第七十三条第二、三款、第六十四条
事实：被告人廖某在明知上述11户不符合危房改造资金申报条件及申报程序的情况下，仍然在这11份危房改造项目申请表上签字、盖章，使其通过审核，并上报江永县住建局危改办审批通过，致使18.4万某危房改造补助资金遭受损失。被告人廖某在江永县潇浦镇四方井地段收受蒲某送的好处费1万某；几天之后，又在江永县夏层铺烟草站附近收受蒲某的好处费1万某，并将这2万某用于个人日常开支。
法律条文：《刑法》第三百八十二条第一款、第三百八十三条第一款第（三）项、第九十三条第二款、第六十七条第一款、第七十二条第一、三款、第七十三条第二、三款、第六十四条
结论：被告人廖某犯有贪污罪。
刑罚：根据《刑法》第三百八十二条第一款、第三百八十三条第一款第（三）项、第九十三条第二款、第六十七条第一款、第七十二条第一、三款、第七十三条第二、三款、第六十四条，被告人廖某犯有贪污罪，判处有期徒刑一年二个月，缓刑一年六个月。",受贿,刑法第385条、刑法第383条、刑法第386条,0,0,廖某
广州市花都区人民检察院指控：2016年7月18日23时许，被告人贺某与购毒人员谢某某经电话联系后，约定到花都区狮岭镇狮都大酒店8718房进行毒品交易。后被告人贺某以100元的价格贩卖1小包白色晶体状毒品给购毒人员谢某某。交易完毕后，公安人员当场抓获被告人贺某，从其身上起获上述毒资100元，从谢某某身上起获上述毒品（经称量，重0.36克）。经广州市公安局司法鉴定中心鉴定，上述白色晶体状毒品中，检出甲基苯丙胺成分。公诉机关提供了相应证据，认为被告人贺某的行为触犯了《中华人民共和国刑法》××××之规定，构成贩卖毒品罪。建议本院结合被告人贺某坦白等量刑情节，对被告人贺某判处××以下，并处罚金。提请本院依法判处。,,被告人贺某犯有贩卖毒品罪。根据《中华人民共和国刑法》第三百四十七条，走私、贩卖、运输、制造毒品，无论数量多少，都应当追究刑事责任，予以刑事处罚。贺某以100元的价格贩卖1小包白色晶体状毒品给购毒人员谢某某，经鉴定，该毒品中检出甲基苯丙胺成分。因此，贺某的行为符合贩卖毒品罪的构成要件。,"案件构成：贩卖毒品罪
法律条文：《中华人民共和国刑法》第三百四十七条第一款及第四款、第六十七条第三款、第五十二条、第五十三条、第六十四条
刑期：一年二个月
罚金：一千元
罚金于判决发生法律效力之日起一个月内一次性向本院缴纳
法律条文：《最高人民法院关于适用财产刑若干问题的规定》第一条、第二条第一款、第五条、第八条
判决：被告人贺才德犯贩卖毒品罪，判处有期徒刑一年二个月，并处罚金人民币一千元。",[走私、贩卖、运输、制造]毒品,刑法第347条,8,0,贺某
新乐市人民检察院指控：2014年12月11日至2014年12月30日期间，崔某甲、李某（已判）收购、捡拾病死猪，并在其家中加工病死猪肉。2014年12月30日上午，崔某甲与李某在家中加工病死猪肉时被当场查获，崔某甲逃跑、李某被当场抓获。现场共查获死猪71头，加工后的白条肉117片，共计5.8吨。经鉴定，被查获的病死猪肉含猪繁殖与呼吸综合征病毒及伪狂犬病毒，足以造成严重食物中毒事故或其他严重食源性疾病。公诉机关提供了现场勘验笔录及现场照片、检查笔录、辨认笔录、检测报告、证人证言、被告人供述等证据，认为被告人崔某甲的行为触犯了《中华人民共和国刑法》××之规定，已构成生产不符合安全标准的食品罪，依法应予惩处。,,崔某甲犯有生产、销售不符合安全标准的食品罪。根据《刑法》第一百四十三条，生产、销售不符合安全标准的食品，足以造成严重食物中毒事故或其他严重食源性疾病，应处三年以下有期徒刑或者拘役，并处罚金。,"案件要件：《中华人民共和国刑法》第一百四十三条
法律条文：《中华人民共和国刑法》第一百四十三条
事实：崔某甲、李某在家中加工病死猪肉，被当场查获，崔某甲逃跑、李某被当场抓获。现场共查获死猪71头，加工后的白条肉117片，共计5.8吨。经鉴定，被查获的病死猪肉含猪繁殖与呼吸综合征病毒及伪狂犬病毒，足以造成严重食物中毒事故或其他严重食源性疾病。
法律观点：崔某甲、李某的行为触犯了《中华人民共和国刑法》第一百四十三条之规定，已构成生产不符合安全标准的食品罪。
刑罚：根据《中华人民共和国刑法》第一百四十三条，崔某甲、李某犯有生产不符合安全标准的食品罪，应予惩处。考虑到崔某甲、李某的犯罪行为属于生产、销售不符合安全标准的食品罪，且没有造成严重食物中毒事故或其他严重食源性疾病，可以酌情从轻处罚。根据《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第一条第（二）项、第十七条的规定，判处崔某甲有期徒刑一年，并处罚金人民币七万元；判处李某有期徒刑一年，并处罚金人民币七万元。",[生产、销售]不符合安全标准的食品,刑法第143条,10,0,崔某甲
嘉祥县人民检察院指控，2015年6月11日22时40分许，付某（已判刑）驾驶鲁HYD820号轿车，沿嘉祥县呈祥大道由西向东行驶至嘉祥县石雕广场附近时，与前方步行的黄某、张2某相撞，致黄某、张2某受伤，经司法鉴定，黄某的伤情为重伤二级。事故发生后，被告人付某驾车逃逸，当晚联系被告人张1某让其顶替。2015年6月12日9时许，被告人张1某明知付某交通肇事而向嘉祥县公安局交警大队民警做虚假供述，假称是其本人交通肇事，包庇付某。当日15时许，被告人张1某主动交代包庇付某的事实。为证实指控的犯罪事实成立，公诉机关向本院提供的证据有：证人付某、张2某、梁某的证言，被告人张1某的供述，现场勘查笔录、验车笔录及照片，司法鉴定意见书，办案说明，户籍证明，刑事判决书，受案登记表。请求依照《中华人民共和国刑法》××之规定对被告人张1某处罚。,,张1某犯有伪证罪。张1某明知付某交通肇事而向嘉祥县公安局交警大队民警做虚假供述，假称是其本人交通肇事，包庇付某。,"案件要件：包庇罪
法律条文：《刑法》第三百一十条
事实：被告人张1某明知付某交通肇事而向嘉祥县公安局交警大队民警做虚假供述，假称是其本人交通肇事，包庇付某。
结论：被告人张1某犯有包庇罪。
刑罚：根据《刑法》第三百一十条第一款，被告人张1某犯有包庇罪，应判处三年以下有期徒刑、拘役或者管制。",[窝藏、包庇],刑法第310条,12,0,张1某
丰城市人民检察院指控，在2011年7月至2013年10月期间，被告人徐某利用担任丰城市供电公司梅某供电所报账员收缴电费的职务便利，违规私自向辖区内专变用电客户提供个人账户用于收取客户的预存电费，没有及时上交丰城市供电公司账户，而是挪用于个人天天理财，××共计人民币198427.51元。2013年底，被告人徐某听说检察机关在调查梅某供电所所长金某，担心自己××的事被发现。2013年12月28日，被告人徐某主动将包括涉嫌挪用的公款在内的欠供电公司的客户预存电费交到了供电公司账户。2014年1月2日，被告人徐某通过国网丰城市供电有限责任公司纪委向丰城市人民检察院投案自首，主动如实交代了自己××的犯罪事实。针对上述指控，公诉机关提供了被告人的供述，证人证言，相关书证等证据证实。公诉机关认为被告人徐某身为国家工作人员，利用职务之便，××进行营利活动，数额较大，其行为应以××罪追究其刑事责任。被告人有自首情节，建议本院依照《中华人民共和国刑法》××、××××之规定判处。,,被告人徐某犯有挪用公款罪。徐某作为国家工作人员，利用职务之便，挪用公款进行营利活动，数额较大，构成挪用公款罪。,被告人徐某犯贪污罪。徐某作为国家工作人员，利用职务之便，挪用公款进行营利活动，数额较大，其行为已构成贪污罪。,挪用公款,刑法第384条,30,0,徐某
"公诉机关指控:2016年8月25日14时许，被告人吴某在湛江市坡头区龙头镇坑尾村三叉路口处，向袁某贩卖1小包毒品海洛因，得款人民币35元。当日下午，吴某因涉嫌吸食毒品在湛江市坡头区龙头镇殷底村路口被公安机关抓获，公安民警当场从吴某身上缴获、扣押疑似毒品3小包。经公安机关称量，该3小包疑似毒品净重0.42克。后被告人吴某向公安机关如实供述司法机关还未掌握的本人上述罪行。经湛江市公安司法鉴定中心鉴定，送检的3小包疑似毒品均检见海洛因成分。2016年9月19日，被告人吴某因本案被公安机关刑事拘留。针对以上指控,公诉机关提供了相应证据，据以认为被告人吴某，违反国家毒品××法规，向他人非法贩卖毒品海洛因0.42克，其行为已触犯《中华人民共和国刑法》××××，构成贩卖毒品罪。被告人吴某具有自首情节，依法可以从轻或者减轻处罚。建议判处被告人吴某一年以下××，并处罚金。",,被告人吴某犯有贩卖毒品罪。根据《刑法》第三百四十七条，走私、贩卖、运输、制造毒品，无论数量多少，都应当追究刑事责任，予以刑事处罚。吴某在湛江市坡头区龙头镇坑尾村三叉路口处，向袁某贩卖1小包毒品海洛因，得款人民币35元，构成贩卖毒品罪。,总结：被告人吴某犯有贩卖毒品罪。根据《刑法》第三百四十七条第一款和第四款，吴某贩卖毒品海洛因，应处七年以上有期徒刑，并处罚金。,[走私、贩卖、运输、制造]毒品,刑法第347条、刑法第347条、刑法第357条,7,0,吴某
佛山市顺德区人民检察院指控称，2014年8月至同年9月期间，被告人黎某某通过他人购得假人民币24000元，掺入“魔术道具”中予以出售牟利。2014年10月30日，公安机关在佛山市顺德区勒流街道友谊路某号203房抓获被告人黎某某，并在上述房屋搜获假人民币8300元。经鉴定，搜获的假人民币为机制假币。针对上述指控的犯罪事实，公诉机关提交了下列证据予以证明：抓获经过；被告人黎某某的供述及对案发地点、起获的假币的指认笔录；证人潘某某的证言及对被告人黎某某的辨认笔录；中国人民银行货币真伪鉴定书；搜查笔录；扣押、处理物品清单；假人民币没收收据；被告人黎某某的户籍证明等。公诉机关据此认为，被告人黎某某无视国家法律，购买伪造的货币并用于经营牟利，数额较大，其行为触犯了《中华人民共和国刑法》××××，犯罪事实清楚，证据确实、充分，应当以购买假币罪追究其刑事责任。被告人黎某某归案后，能如实供述自己的罪行，依照《中华人民共和国刑法》××××的规定处罚，建议判处被告人黎某某××至一年零七个月，并处罚金人民币××元至五万元。根据《中华人民共和国刑事诉讼法》××的规定，提请本院依法判处。,,被告人黎某某犯有购买假币罪。根据《中华人民共和国刑法》第一百七十二条，明知是伪造的货币而购买予以非法持有，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。,"根据《刑法》第一百七十一条，明知是伪造的货币而持有、运输、出售的，处三年以下有期徒刑、拘役或者处管制，并处或者单处罚金；数额较大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额巨大或者有其他特别严重情节的，处十年以上有期徒刑，并处罚金。
根据案件事实，被告人黎某某通过他人购得假人民币24000元，并掺入“魔术道具”中予以出售牟利。经鉴定，搜获的假人民币为机制假币。
根据以上法律条文和案件事实，可以得出以下推理：
 根据《刑法》第一百七十一条，明知是伪造的货币而持有、运输、出售的，处三年以下有期徒刑、拘役或者处管制，并处或者单处罚金；
根据案件事实，被告人黎某某通过他人购得假人民币24000元，并掺入“魔术道具”中予以出售牟利；
根据以上推理，可以得出结论：被告人黎某某犯有持有假币罪。
根据《刑法》第一百七十一条的刑罚规定，根据案件事实中被告人黎某某持有的假人民币数额较大，可以判处三年以上十年以下有期徒刑，并处罚金。具体的刑罚应根据法庭审理的情况和被告人的个人情况进行综合考量。",[出售、购买、运输]假币,刑法第171条,7,20000,黎某某
经审理查明：2016年7月份，被告人王某甲在未办理林木采伐许可证的情况下，擅自砍伐了自家位于本村的林木。经鉴定，现场被采伐的林木蓄积为30.7923立方米。2016年7月28日，被告人王某甲主动到公安机关投案自首。上述事实，被告人王某甲在开庭审理过程中亦无异议，且有受案登记表、立案决定书、户口证明、到案说明、查获经过、接受证据材料清单、林权证、销货清单、扣押决定书、扣押清单、未办理林木采伐许可证证明、情况说明、前科劣迹说明、网上比对说明，证人王某乙、程某某、刘某某、权某某、梅某某、李某某、王某丙、张某某、王某丁、王某戊、郑某某的证言，被告人王某甲的供述，《林木司法鉴定意见书》、鉴定意见通知书，现场勘验笔录、辨认笔录及照片等证据证实，足以认定。,,王某甲犯有滥伐林木罪。王某甲在未办理林木采伐许可证的情况下，擅自砍伐了自家位于本村的林木，经鉴定，现场被采伐的林木蓄积为30.7923立方米。,总结：王某甲犯滥伐林木罪。王某甲滥伐林木数量较大，其行为已触犯刑律，构成滥伐林木罪，依法应当追究其刑事责任。王某甲到案后如实供述了自己的罪行，是坦白，依法可以从轻处罚。王某甲滥伐林木的违法所得已被扣押，庭审中自愿认罪，可酌情予以从轻处罚。王某甲犯罪后有一定的悔罪表现，宣告缓刑对其所居住的社区没有重大不良影响，可对王某甲从轻处罚并宣告缓刑。,滥伐林木,刑法第345条,0,0,王某某
公诉机关指控，2014年1月20日7时许，被告人尤×在北京市平谷区马昌营镇××村××超市附近因琐事与呼×等人发生争吵，后尤×与呼×等人互殴，尤×将呼×打伤，致呼×双侧鼻骨骨折。经北京市平谷区公安司法鉴定中心鉴定，被害人呼×身体所受损伤属轻伤二级。2014年3月10日，被告人尤×经公安机关传唤后到案，但未如实供述上述事实。案发后，被告人尤×与被害人呼×就经济赔偿问题达成和解，呼×不要求追究尤×的刑事责任。,,尤×犯有故意伤害罪。尤×与呼×等人发生争吵后互殴，尤×将呼×打伤，致呼×双侧鼻骨骨折。经北京市平谷区公安司法鉴定中心鉴定，被害人呼×身体所受损伤属轻伤二级。,被告人尤×犯有故意伤害罪。尤×与呼×等人发生争吵后互殴，尤×将呼×打伤，致呼×双侧鼻骨骨折。经北京市平谷区公安司法鉴定中心鉴定，被害人呼×身体所受损伤属轻伤二级。尤×与呼×就经济赔偿问题达成和解，呼×不要求追究尤×的刑事责任。根据《刑法》第二百三十四条，故意伤害他人身体的，处三年以下有期徒刑、拘役或者管制。尤×的行为符合故意伤害罪的构成要件，因此，尤×犯有故意伤害罪。,故意伤害,刑法第234条,8,0,尤×
公诉机关指控：2016年4月24日18时许，被告人杨某来到本市福田区福华三路星河国际君尚百货ARTIS服装店，趁被害人陈某不备盗走一件连衣裙（经鉴定，价值人民币3568元）。随后，被告人杨某来到该商场ALA专柜，趁被害人何某不备盗走两副遮阳眼镜（经鉴定，共价值人民币996元）、一把三折伞（经鉴定，价值人民币442元）。当日19时许，被告人杨某来到该商场1楼YI服装专柜，趁被害人袁某不备盗走一条连衣裙（经鉴定，价值人民币2840元）。后离开商场。当晚，被告人杨某再次回到君尚百货商场，被商场保安抓获。公诉机关提供了书证、证人证言、被害人陈述、被告人的供述及辩解、鉴定意见、勘验检查辨认笔录、视听资料及电子数据等证据证实上述事实。公诉机关据此认为被告人杨某的行为已构成××罪，提请本院依法判处，建议对被告人杨某判处一年以下××，并处罚金。,,被告人杨某盗窃了三件物品，分别是一条连衣裙、两副遮阳眼镜和一把三折伞，价值共计人民币3568元+996元+442元+2840元=7846元。根据《刑法》第二百六十四条，盗窃公私财物，数额较大的，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金。因此，被告人杨某犯有盗窃罪。,"案件构成：盗窃罪
法律条文：刑法第二百六十四条
事实：被告人杨某趁被害人不备，盗窃了三件物品。
结论：被告人杨某犯有盗窃罪。
刑罚建议：根据《中华人民共和国刑法》第二百六十四条，盗窃罪的刑罚为三年以下有期徒刑、拘役或者管制，并处或者单处罚金。考虑到被告人杨某的行为情节，建议判处一年以下有期徒刑，并处罚金。",盗窃,刑法第264条,7,1000,杨某
