Case_Index,LLM_专业性,LLM_准确性,LLM_丰富度,LLM_可解释性,LLM_总分
182,60.0,100.0,20.0,60.0,60.0
37,100.0,100.0,100.0,100.0,100.0
10,60.0,100.0,40.0,80.0,70.0
84,40.0,0.0,80.0,60.0,45.0
76,100.0,100.0,100.0,100.0,100.0
70,100.0,100.0,100.0,100.0,100.0
44,100.0,100.0,100.0,100.0,100.0
34,20.0,100.0,20.0,60.0,50.0
194,100.0,100.0,100.0,100.0,100.0
156,60.0,0.0,80.0,60.0,50.0
30,80.0,100.0,60.0,80.0,80.0
169,20.0,0.0,60.0,40.0,30.0
123,100.0,100.0,100.0,100.0,100.0
12,80.0,40.0,80.0,80.0,70.0
11,40.0,0.0,60.0,60.0,40.0
31,60.0,20.0,80.0,80.0,60.0
68,100.0,100.0,100.0,100.0,100.0
73,100.0,100.0,100.0,100.0,100.0
145,80.0,100.0,80.0,100.0,90.0
172,60.0,20.0,80.0,100.0,65.0
